Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
0.0000	73.6858	62.7307	63.0133	5.2875	2.0000
0.1000	73.5309	62.6725	62.9169	5.2875	2.0000
0.2000	73.3760	62.6143	62.8205	5.2875	2.0000
0.3000	73.2212	62.5561	62.7241	5.2875	2.0000
0.4000	73.0663	62.4979	62.6277	5.2875	2.0000
0.5000	72.9114	62.4398	62.5313	5.2875	2.0000
0.6000	72.7566	62.3816	62.4349	5.2875	2.0000
0.7000	72.6017	62.3234	62.3385	5.2875	2.0000
0.8000	72.7203	62.5461	62.4903	5.2861	2.0000
0.9000	72.8445	62.7746	62.6472	5.2846	2.0000
1.0000	72.9687	63.0031	62.8041	5.2832	2.0000
1.1000	73.0929	63.2315	62.9610	5.2817	2.0000
1.2000	73.2171	63.4600	63.1179	5.2803	2.0000
1.3000	73.3413	63.6885	63.2748	5.2788	2.0000
1.4000	73.4655	63.9170	63.4317	5.2774	2.0000
1.5000	73.5897	64.1454	63.5886	5.2759	2.0000
1.6000	73.7139	64.3739	63.7455	5.2745	2.0000
1.7000	73.8381	64.6024	63.9025	5.2730	2.0000
1.8000	73.9623	64.8309	64.0594	5.2716	2.0000
1.9000	74.0865	65.0593	64.2163	5.2701	2.0000
2.0000	73.9724	65.0915	64.0962	5.2687	2.0000
2.1000	73.8485	65.1156	63.9646	5.2672	2.0000
2.2000	73.7245	65.1396	63.8329	5.2658	2.0000
2.3000	73.6005	65.1636	63.7013	5.2644	2.0000
2.4000	73.4766	65.1876	63.5697	5.2629	2.0000
2.5000	73.3526	65.2116	63.4381	5.2615	2.0000
2.6000	73.2286	65.2357	63.3065	5.2600	2.0000
2.7000	73.1047	65.2597	63.1748	5.2586	2.0000
2.8000	72.9807	65.2837	63.0432	5.2571	2.0000
2.9000	72.8567	65.3077	62.9116	5.2557	2.0000
3.0000	72.7328	65.3317	62.7800	5.2542	2.0000
3.1000	72.7035	65.4023	62.7238	5.2528	2.0000
3.2000	72.8427	65.5554	62.8019	5.2513	2.0000
3.3000	72.9818	65.7086	62.8800	5.2499	2.0000
3.4000	73.1210	65.8618	62.9580	5.2484	2.0000
3.5000	73.2601	66.0150	63.0361	5.2470	2.0000
3.6000	73.3993	66.1681	63.1141	5.2455	2.0000
3.7000	73.5384	66.3213	63.1922	5.2441	2.0000
3.8000	73.6776	66.4745	63.2703	5.2494	2.0000
3.9000	73.8167	66.6277	63.3483	5.2557	2.0000
4.0000	73.9558	66.7808	63.4264	5.2620	2.0000
4.1000	74.0950	66.9340	63.5044	5.2683	2.0000
4.2000	74.2341	67.0872	63.5825	5.2745	2.0000
4.3000	74.3106	67.1727	63.7192	5.2808	2.0000
4.4000	74.3378	67.2050	63.9019	5.2871	2.0000
4.5000	74.3650	67.2373	64.0846	5.2934	2.0000
