Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
0.0000	78.6854	67.7676	0.0000	4.3601	2.0000
0.1000	78.9884	68.2211	0.0000	4.3601	2.0000
0.2000	79.2914	68.6746	0.0000	4.3601	2.0000
0.3000	79.5944	69.1280	0.0000	4.3601	2.0000
0.4000	79.8974	69.5815	0.0000	4.3601	2.0000
0.5000	80.2223	70.0268	0.0000	4.3601	2.0000
0.6000	80.6624	70.4294	0.0000	4.3601	2.0000
0.7000	81.1025	70.8320	0.0000	4.3599	2.0000
0.8000	81.5426	71.2345	0.0000	4.3598	2.0000
0.9000	81.9827	71.6371	0.0000	4.3597	2.0000
1.0000	82.4228	72.0397	0.0000	4.3595	2.0000
1.1000	82.8629	72.4423	0.0000	4.3594	2.0000
1.2000	83.3030	72.8448	0.0000	4.3592	2.0000
1.3000	83.6936	73.1909	0.0000	4.3591	2.0000
1.4000	83.9088	73.3366	0.0000	4.3590	2.0000
1.5000	84.1239	73.4822	0.0000	4.3588	2.0000
1.6000	84.3391	73.6279	0.0000	4.3587	2.0000
1.7000	84.5542	73.7736	0.0000	4.3586	2.0000
1.8000	84.7694	73.9193	0.0000	4.3584	2.0000
1.9000	84.9845	74.0649	0.0000	4.3583	2.0000
2.0000	85.1997	74.2106	0.0000	4.3582	2.0000
2.1000	85.4131	74.3475	0.0000	4.3580	2.0000
2.2000	85.5985	74.3465	0.0000	4.3579	2.0000
2.3000	85.7839	74.3456	0.0000	4.3577	2.0000
2.4000	85.9693	74.3446	0.0000	4.3576	2.0000
2.5000	86.1547	74.3437	0.0000	4.3575	2.0000
2.6000	86.3402	74.3427	0.0000	4.3573	2.0000
2.7000	86.5256	74.3418	0.0000	4.3572	2.0000
2.8000	86.7110	74.3408	0.0000	4.3571	2.0000
2.9000	86.9047	74.3534	0.0000	4.3569	2.0000
3.0000	87.2291	74.5784	0.0000	4.3568	2.0000
3.1000	87.5535	74.8033	0.0000	4.3566	2.0000
3.2000	87.8779	75.0283	0.0000	4.3565	2.0000
3.3000	88.2023	75.2533	0.0000	4.3564	2.0000
3.4000	88.5266	75.4782	0.0000	4.3562	2.0000
3.5000	88.8510	75.7032	0.0000	4.3561	2.0000
3.6000	89.1754	75.9282	0.0000	4.3560	2.0000
3.7000	89.4630	76.1225	0.0000	4.3558	2.0000
3.8000	89.6342	76.2201	0.0000	4.3557	2.0000
3.9000	89.8055	76.3176	0.0000	4.3556	2.0000
4.0000	89.9767	76.4152	0.0000	4.3554	2.0000
4.1000	90.1479	76.5127	0.0000	4.3553	2.0000
4.2000	90.3192	76.6102	0.0000	4.3551	2.0000
4.3000	90.4904	76.7078	0.0000	4.3550	2.0000
4.4000	90.6616	76.8053	0.0000	4.3549	2.0000
4.5000	90.8328	76.9028	0.0000	4.3547	2.0000
4.6000	90.6979	76.5036	0.0000	4.3546	2.0000
4.7000	90.4663	75.9474	0.0000	4.3545	2.0000
4.8000	90.2347	75.3913	0.0000	4.3543	2.0000
4.9000	90.0031	74.8352	0.0000	4.3542	2.0000
5.0000	89.7714	74.2790	0.0000	4.3541	2.0000
5.1000	89.5398	73.7229	0.0000	4.3539	2.0000
5.2000	89.3082	73.1667	0.0000	4.3538	2.0000
5.3000	89.0766	72.6106	0.0000	4.3536	2.0000
5.4000	88.8450	72.0545	0.0000	4.3535	2.0000
5.5000	88.5325	71.6012	0.0000	4.3534	2.0000
5.6000	88.1614	71.2225	0.0000	4.3532	2.0000
5.7000	87.7903	70.8437	0.0000	4.3531	2.0000
5.8000	87.4193	70.4650	0.0000	4.3530	2.0000
5.9000	87.0482	70.0863	0.0000	4.3528	2.0000
6.0000	86.6771	69.7075	0.0000	4.3527	2.0000
6.1000	86.3060	69.3288	0.0000	4.3525	2.0000
6.2000	85.9350	68.9500	0.0000	4.3524	2.0000
6.3000	85.5639	68.5713	0.0000	4.3523	2.0000
6.4000	85.2084	68.2765	0.0000	4.3521	2.0000
6.5000	84.8642	68.0426	0.0000	4.3520	2.0000
6.6000	84.5200	67.8086	0.0000	4.3519	2.0000
6.7000	84.1758	67.5746	0.0000	4.3517	2.0000
6.8000	83.8315	67.3407	0.0000	4.3516	2.0000
6.9000	83.4873	67.1067	0.0000	4.3515	2.0000
7.0000	83.1431	66.8727	0.0000	4.3513	2.0000
7.1000	82.7989	66.6388	0.0000	4.3512	2.0000
7.2000	82.4547	66.4048	0.0000	4.3510	2.0000
7.3000	82.4135	66.6988	0.0000	4.3509	2.0000
7.4000	82.3916	67.0264	0.0000	4.3508	2.0000
7.5000	82.3697	67.3540	0.0000	4.3506	2.0000
7.6000	82.3479	67.6817	0.0000	4.3505	2.0000
7.7000	82.3260	68.0093	0.0000	4.3504	2.0000
7.8000	82.3042	68.3370	0.0000	4.3502	2.0000
7.9000	82.2823	68.6646	0.0000	4.3501	2.0000
8.0000	82.2604	68.9923	0.0000	4.3499	2.0000
8.1000	82.1741	69.1544	0.0000	4.3390	2.0000
8.2000	81.9732	69.0223	0.0000	4.3280	2.0000
8.3000	81.7723	68.8902	0.0000	4.3170	2.0000
8.4000	81.5714	68.7581	0.0000	4.3060	2.0000
8.5000	81.3705	68.6260	0.0000	4.2950	2.0000
8.6000	81.1695	68.4939	0.0000	4.2840	2.0000
8.7000	80.9686	68.3618	0.0000	4.2730	2.0000
8.8000	80.7677	68.2297	0.0000	4.2620	2.0000
8.9000	80.5668	68.0976	0.0000	4.2510	2.0000
9.0000	80.3326	67.9724	0.0000	4.2400	2.0000
9.1000	80.0207	67.8633	0.0000	4.2290	2.0000
9.2000	79.7088	67.7542	0.0000	4.2180	2.0000
9.3000	79.3969	67.6451	0.0000	4.2070	2.0000
9.4000	79.0850	67.5360	0.0000	4.1960	2.0000
9.5000	78.7731	67.4269	0.0000	4.1850	2.0000
